2026-07-05T00:15:06+00:00 | short   | long=0.087717 short=0.912083 | tp=0.003933 sl=0.004616 | 1000SHIBUSDT m15 | bar=2026-07-05 00:00:00 close=0.004435
2026-07-05T07:00:08+00:00 | unclear | long=0.568340 short=0.431225 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 06:45:00 close=0.004317
2026-07-05T07:15:06+00:00 | unclear | long=0.503903 short=0.495681 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 07:00:00 close=0.004322
2026-07-05T07:30:06+00:00 | unclear | long=0.449720 short=0.549876 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 07:15:00 close=0.004320
2026-07-05T07:45:06+00:00 | unclear | long=0.483334 short=0.516248 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 07:30:00 close=0.004336
2026-07-05T08:00:07+00:00 | unclear | long=0.391540 short=0.608074 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 07:45:00 close=0.004342
2026-07-05T08:15:07+00:00 | unclear | long=0.336560 short=0.663076 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 08:00:00 close=0.004339
2026-07-05T08:30:08+00:00 | unclear | long=0.462286 short=0.537301 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 08:15:00 close=0.004329
2026-07-05T08:45:07+00:00 | unclear | long=0.593919 short=0.405635 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 08:30:00 close=0.004323
2026-07-05T09:00:05+00:00 | unclear | long=0.295842 short=0.703817 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 08:45:00 close=0.004322
2026-07-05T09:15:05+00:00 | unclear | long=0.317973 short=0.681680 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 09:00:00 close=0.004327
2026-07-05T09:30:07+00:00 | unclear | long=0.215717 short=0.783988 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 09:15:00 close=0.004315
2026-07-05T09:45:04+00:00 | unclear | long=0.172260 short=0.827467 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 09:30:00 close=0.004295
2026-07-05T10:00:10+00:00 | unclear | long=0.261871 short=0.737799 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 09:45:00 close=0.004298
2026-07-05T10:15:06+00:00 | unclear | long=0.322214 short=0.677422 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 10:00:00 close=0.004290
2026-07-05T10:30:10+00:00 | unclear | long=0.382455 short=0.617164 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 10:15:00 close=0.004299
2026-07-05T10:45:07+00:00 | unclear | long=0.461065 short=0.538531 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 10:30:00 close=0.004303
2026-07-05T11:00:07+00:00 | unclear | long=0.420549 short=0.579052 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 10:45:00 close=0.004303
2026-07-05T11:15:04+00:00 | unclear | long=0.401366 short=0.598244 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 11:00:00 close=0.004308
2026-07-05T11:30:06+00:00 | unclear | long=0.501275 short=0.498300 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 11:15:00 close=0.004305
2026-07-05T11:45:07+00:00 | unclear | long=0.200850 short=0.798860 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 11:30:00 close=0.004317
2026-07-05T12:00:07+00:00 | unclear | long=0.286496 short=0.713169 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 11:45:00 close=0.004313
2026-07-05T12:15:08+00:00 | unclear | long=0.127561 short=0.872203 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 12:00:00 close=0.004309
2026-07-05T12:30:07+00:00 | unclear | long=0.105086 short=0.894696 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 12:15:00 close=0.004328
2026-07-05T12:45:06+00:00 | short   | long=0.098164 short=0.901623 | tp=0.003845 sl=0.004512 | 1000SHIBUSDT m15 | bar=2026-07-05 12:30:00 close=0.004335
2026-07-05T13:00:07+00:00 | short   | long=0.079651 short=0.920151 | tp=0.003849 sl=0.004517 | 1000SHIBUSDT m15 | bar=2026-07-05 12:45:00 close=0.004340
2026-07-05T13:15:05+00:00 | short   | long=0.077785 short=0.922021 | tp=0.003853 sl=0.004521 | 1000SHIBUSDT m15 | bar=2026-07-05 13:00:00 close=0.004344
2026-07-05T13:30:06+00:00 | unclear | long=0.191180 short=0.808540 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 13:15:00 close=0.004335
2026-07-05T13:45:06+00:00 | unclear | long=0.225214 short=0.774486 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 13:30:00 close=0.004341
2026-07-05T14:00:08+00:00 | unclear | long=0.135290 short=0.864469 | tp=0.000000 sl=0.000000 | 1000SHIBUSDT m15 | bar=2026-07-05 13:45:00 close=0.004348
